date,location,station_reference,temperature_avg_c,temperature_min_c,temperature_max_c,dew_point_c,relative_humidity_pct,precipitation_mm,snow_depth_mm,wind_direction_deg,wind_speed_kmh,peak_wind_gust_kmh,sea_level_pressure_hpa,sunshine_minutes,cloud_cover_okta,visibility_m,weather_condition_code,temperature_range_c,pressure_change_hpa,rainfall_3day_mm,rainfall_7day_mm,next_day_temperature_c
2015-01-01,"Yangon, Myanmar",Yangon International Airport (VYYY),23.18,19.24,28.96,19.98,77.4,0.0,0,156.0,6.92,10.63,1014.37,480.0,2.4,11065.0,1,9.72,,0.0,0.0,25.16
2015-01-02,"Yangon, Myanmar",Yangon International Airport (VYYY),25.16,21.42,29.97,20.25,90.7,0.0,0,245.0,,9.46,1012.66,627.0,0.3,9164.0,1,8.55,-1.71,0.0,0.0,25.55
2015-01-03,"Yangon, Myanmar",Yangon International Airport (VYYY),25.55,21.51,29.85,23.84,83.5,0.0,0,181.0,7.77,10.62,1013.41,436.0,0.2,10341.0,1,8.34,0.75,0.0,0.0,24.46
2015-01-04,"Yangon, Myanmar",Yangon International Airport (VYYY),24.46,21.08,29.55,23.0,67.9,0.0,0,203.0,7.14,9.01,1013.52,485.0,1.8,10639.0,1,8.46,0.12,0.0,0.0,23.21
2015-01-05,"Yangon, Myanmar",Yangon International Airport (VYYY),23.21,19.04,28.62,21.22,79.0,0.0,0,200.0,5.71,9.1,1013.07,489.0,0.0,9140.0,1,9.59,-0.46,0.0,0.0,25.0
2015-01-06,"Yangon, Myanmar",Yangon International Airport (VYYY),25.0,21.51,29.8,21.59,84.8,0.0,0,193.0,2.83,3.15,1012.56,586.0,2.9,10311.0,1,8.3,-0.5,0.0,0.0,23.4
2015-01-07,"Yangon, Myanmar",Yangon International Airport (VYYY),23.4,18.81,27.69,21.16,79.8,0.0,0,251.0,5.24,7.45,1013.85,447.0,0.6,8468.0,1,8.88,1.29,0.0,0.0,22.61
2015-01-08,"Yangon, Myanmar",Yangon International Airport (VYYY),22.61,18.3,27.94,19.94,84.6,0.0,0,,3.99,13.93,1011.16,560.0,3.0,9455.0,1,9.64,-2.69,0.0,0.0,25.23
2015-01-09,"Yangon, Myanmar",Yangon International Airport (VYYY),25.23,21.58,29.11,22.68,73.6,0.0,0,120.0,4.96,6.47,1018.01,481.0,1.9,8958.0,1,7.54,6.85,0.0,0.0,23.71
2015-01-10,"Yangon, Myanmar",Yangon International Airport (VYYY),23.71,20.18,27.66,20.56,84.6,0.0,0,239.0,5.46,7.99,1013.98,552.0,3.1,9190.0,1,7.48,-4.04,0.0,0.0,24.61
2015-01-11,"Yangon, Myanmar",Yangon International Airport (VYYY),24.61,20.36,29.36,22.46,76.8,0.0,0,168.0,7.5,7.5,1015.97,556.0,3.0,11113.0,1,9.0,1.99,0.0,0.0,24.06
2015-01-12,"Yangon, Myanmar",Yangon International Airport (VYYY),24.06,18.72,29.67,20.41,78.0,0.0,0,178.0,6.47,8.09,1012.37,335.0,1.8,8161.0,1,10.95,-3.59,0.0,0.0,24.81
2015-01-13,"Yangon, Myanmar",Yangon International Airport (VYYY),24.81,20.78,29.56,21.97,78.3,0.0,0,201.0,8.5,10.31,1013.6,463.0,3.1,10240.0,1,8.78,1.22,0.0,0.0,24.59
2015-01-14,"Yangon, Myanmar",Yangon International Airport (VYYY),24.59,20.67,31.27,22.36,78.5,0.0,0,239.0,12.25,13.78,1012.82,585.0,1.4,10074.0,1,10.6,-0.78,0.0,0.0,24.52
2015-01-15,"Yangon, Myanmar",Yangon International Airport (VYYY),24.52,20.39,28.49,20.81,81.7,0.0,0,197.0,8.66,14.55,1010.39,476.0,3.3,9970.0,1,8.11,-2.43,0.0,0.0,24.26
2015-01-16,"Yangon, Myanmar",Yangon International Airport (VYYY),24.26,21.14,29.93,22.76,79.2,0.0,0,213.0,11.96,13.79,1010.66,561.0,2.9,10208.0,1,8.79,0.27,0.0,0.0,23.5
2015-01-17,"Yangon, Myanmar",Yangon International Airport (VYYY),23.5,19.27,28.19,21.42,81.8,0.0,0,257.0,7.19,8.13,1010.28,434.0,2.0,9714.0,1,8.92,-0.38,0.0,0.0,25.34
2015-01-18,"Yangon, Myanmar",Yangon International Airport (VYYY),25.34,21.51,30.02,21.49,85.8,26.12,0,157.0,5.72,7.95,,660.0,2.4,7285.0,8,8.51,2.36,26.12,26.12,25.8
2015-01-19,"Yangon, Myanmar",Yangon International Airport (VYYY),25.8,22.14,31.16,22.31,85.0,0.0,0,199.0,7.92,8.82,1010.26,430.0,4.3,10403.0,3,9.02,-2.39,26.12,26.12,23.9
2015-01-20,"Yangon, Myanmar",Yangon International Airport (VYYY),23.9,20.4,28.73,22.49,92.2,0.0,0,164.0,7.7,11.18,1012.56,521.0,1.9,9634.0,1,8.34,2.3,26.12,26.12,24.42
2015-01-21,"Yangon, Myanmar",Yangon International Airport (VYYY),24.42,20.87,29.0,21.94,78.2,0.0,0,192.0,9.34,11.16,1011.69,575.0,1.5,9935.0,1,8.13,-0.87,0.0,26.12,24.35
